                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.99677,                0.49439,                0.79202,                0.90419,                0.70508,                0.79087,                0.51857,                0.90073,                0.46924,                0.78974,             0.00081688,             0.00081688,             0.00081688
                     37,                0.97148,                0.47327,                0.79268,                0.84965,                0.74175,                0.79793,                0.51179,                0.90905,                0.46392,                  0.791,              0.0008045,              0.0008045,              0.0008045
                     38,                 0.9794,                0.47571,                0.79038,                  0.819,                0.75626,                0.79199,                0.53457,                 0.9019,                0.45217,                0.78982,             0.00079213,             0.00079213,             0.00079213
                     39,                0.91831,                0.45839,                0.79205,                0.92289,                0.64261,                 0.7737,                0.50557,                0.95282,                0.48792,                0.79075,             0.00077975,             0.00077975,             0.00077975
                     40,                0.99888,                0.47867,                0.79208,                0.88011,                0.73172,                0.79087,                0.52608,                 0.9197,                0.47685,                0.79314,             0.00076738,             0.00076738,             0.00076738
                     41,                0.96949,                0.46355,                0.79169,                0.86877,                0.68338,                 0.7816,                0.50757,                0.93739,                0.46906,                  0.793,               0.000755,               0.000755,               0.000755
                     42,                0.98141,                0.47383,                0.79442,                0.85606,                0.75593,                0.80119,                0.51854,                0.88215,                0.46448,                0.78853,             0.00074263,             0.00074263,             0.00074263
                     43,                0.92841,                0.45062,                0.79143,                0.92831,                0.68736,                0.78685,                0.52206,                0.88218,                0.45699,                0.78815,             0.00073025,             0.00073025,             0.00073025
                     44,                 0.9171,                 0.4438,                0.79126,                0.90253,                0.73048,                0.79036,                0.51722,                0.85795,                0.44691,                 0.7874,             0.00071788,             0.00071788,             0.00071788
                     45,                0.91508,                0.43401,                0.79238,                0.90261,                0.69963,                0.78583,                0.49479,                0.90326,                0.46074,                0.79016,              0.0007055,              0.0007055,              0.0007055
                     46,                0.88304,                0.42971,                0.78925,                0.89856,                0.74884,                0.80418,                0.52021,                0.88732,                0.45329,                0.78919,             0.00069313,             0.00069313,             0.00069313
                     47,                0.86684,                0.41929,                0.79299,                0.89504,                0.71602,                0.77561,                0.50683,                0.88754,                0.44541,                0.78854,             0.00068075,             0.00068075,             0.00068075
                     48,                0.93618,                0.44622,                0.78854,                0.85225,                0.72085,                0.77449,                0.50593,                0.85063,                0.44376,                0.78795,             0.00066838,             0.00066838,             0.00066838
                     49,                 0.9543,                  0.449,                 0.7937,                0.84859,                 0.6952,                0.77019,                0.49206,                0.87591,                 0.4389,                0.78856,               0.000656,               0.000656,               0.000656
                     50,                0.93593,                0.44148,                0.79066,                0.86741,                0.67723,                0.75945,                0.49167,                0.92555,                0.45226,                0.79128,             0.00064362,             0.00064362,             0.00064362
                     51,                0.92341,                0.43366,                0.78661,                0.89637,                0.68497,                0.78855,                0.51289,                0.85065,                0.43008,                0.78847,             0.00063125,             0.00063125,             0.00063125
                     52,                0.90825,                0.43165,                0.78706,                0.94243,                0.69598,                0.78901,                0.53531,                0.81616,                0.41882,                0.78702,             0.00061887,             0.00061887,             0.00061887
                     53,                0.86802,                0.41313,                  0.788,                0.86538,                0.73643,                0.79756,                0.53482,                0.82967,                0.42065,                0.78766,              0.0006065,              0.0006065,              0.0006065
                     54,                0.85396,                 0.4089,                0.78922,                0.87342,                 0.7002,                0.77603,                0.51987,                0.84735,                0.45053,                0.78716,             0.00059413,             0.00059413,             0.00059413
                     55,                0.85783,                0.41224,                0.78682,                0.91238,                0.74939,                0.79435,                0.54057,                0.81329,                0.42985,                0.78462,             0.00058175,             0.00058175,             0.00058175
                     56,                0.85592,                0.40688,                0.79245,                0.89733,                 0.7375,                0.80124,                0.53681,                0.81201,                0.42907,                0.78437,             0.00056938,             0.00056938,             0.00056938
                     57,                0.86994,                 0.4084,                0.78701,                0.91496,                0.73134,                0.79514,                0.53342,                0.82682,                0.42174,                0.78494,               0.000557,               0.000557,               0.000557
                     58,                0.88707,                0.41462,                0.78392,                0.89158,                0.76349,                0.81442,                0.54225,                0.81601,                 0.4202,                0.78419,             0.00054463,             0.00054463,             0.00054463
                     59,                0.85742,                0.40956,                0.78441,                0.93413,                0.72902,                0.81851,                 0.5364,                0.82896,                0.42938,                0.78463,             0.00053225,             0.00053225,             0.00053225
                     60,                0.85917,                0.40289,                0.78603,                0.88189,                0.73845,                0.80076,                0.53696,                0.82943,                0.42929,                0.78548,             0.00051988,             0.00051988,             0.00051988
                     61,                0.87201,                0.40425,                0.78668,                0.84419,                0.77518,                0.80467,                0.53435,                 0.8272,                0.43367,                0.78544,              0.0005075,              0.0005075,              0.0005075
                     62,                 0.8805,                0.40791,                0.78715,                0.84267,                0.73265,                0.78551,                0.51518,                0.89047,                0.44149,                0.78912,             0.00049513,             0.00049513,             0.00049513
                     63,                0.87378,                0.40624,                0.78583,                0.90113,                0.74857,                0.79856,                0.53133,                0.82097,                0.42561,                0.78472,             0.00048275,             0.00048275,             0.00048275
                     64,                0.83868,                0.39731,                0.78512,                0.88978,                0.74003,                 0.7938,                0.54081,                0.82049,                0.42667,                0.78379,             0.00047038,             0.00047038,             0.00047038
                     65,                0.83217,                0.39131,                0.78314,                0.90176,                0.74528,                0.81068,                0.55143,                0.81078,                0.41883,                0.78451,               0.000458,               0.000458,               0.000458
                     66,                0.83988,                0.39572,                0.78644,                0.90001,                0.73646,                0.80724,                0.55107,                0.80772,                  0.417,                0.78488,             0.00044563,             0.00044563,             0.00044563
                     67,                0.84325,                0.39026,                0.78711,                0.91014,                0.73532,                0.80317,                0.52872,                0.85391,                0.42981,                0.78634,             0.00043325,             0.00043325,             0.00043325
                     68,                0.82892,                0.39122,                0.78512,                 0.8639,                 0.7576,                0.80759,                0.55288,                0.81878,                0.41583,                0.78476,             0.00042087,             0.00042087,             0.00042087
                     69,                0.79816,                0.37683,                0.78321,                0.86109,                0.74866,                0.79964,                0.55228,                0.81959,                0.41786,                0.78585,              0.0004085,              0.0004085,              0.0004085
                     70,                0.85923,                0.39655,                0.78707,                0.84599,                0.73878,                0.78953,                0.54277,                0.82885,                 0.4351,                0.78659,             0.00039613,             0.00039613,             0.00039613
                     71,                 0.8373,                0.39671,                0.78835,                 0.8815,                0.76048,                0.80693,                 0.5449,                0.81008,                0.42044,                0.78551,             0.00038375,             0.00038375,             0.00038375
                     72,                0.86114,                0.39984,                0.78322,                0.95027,                0.71848,                0.81299,                0.55036,                0.82276,                0.41189,                0.78487,             0.00037138,             0.00037138,             0.00037138
                     73,                0.83822,                0.39061,                0.78599,                0.88546,                 0.7208,                0.81291,                0.55651,                0.83549,                0.41885,                0.78587,               0.000359,               0.000359,               0.000359
                     74,                 0.8249,                0.38905,                0.78247,                0.89111,                0.75286,                0.81953,                0.56879,                0.80237,                0.40804,                 0.7831,             0.00034663,             0.00034663,             0.00034663
                     75,                0.81541,                0.37895,                0.78179,                0.87136,                0.75046,                0.81163,                0.55349,                0.81835,                0.41095,                0.78476,             0.00033425,             0.00033425,             0.00033425
                     76,                0.83481,                0.39117,                0.78239,                0.91446,                0.75764,                0.80938,                0.54988,                0.82415,                0.41356,                  0.785,             0.00032188,             0.00032188,             0.00032188
                     77,                0.79898,                0.37315,                0.78525,                0.91536,                 0.7639,                0.81384,                 0.5618,                0.79277,                0.41237,                0.78299,              0.0003095,              0.0003095,              0.0003095
                     78,                0.78755,                0.36685,                0.78565,                0.89656,                0.74875,                 0.8069,                0.55414,                0.80662,                0.40839,                0.78344,             0.00029713,             0.00029713,             0.00029713
                     79,                0.78674,                0.36908,                 0.7821,                0.90189,                0.73957,                0.80856,                0.55338,                0.79616,                0.40481,                0.78316,             0.00028475,             0.00028475,             0.00028475
                     80,                0.79177,                0.37153,                0.78553,                0.88821,                 0.7621,                0.81335,                0.56798,                0.79713,                 0.4008,                0.78278,             0.00027237,             0.00027237,             0.00027237
                     81,                0.81888,                0.37953,                0.78221,                0.89305,                0.76665,                0.81727,                0.56188,                0.79976,                0.40526,                0.78247,                0.00026,                0.00026,                0.00026
                     82,                0.79903,                0.37551,                0.78336,                0.90993,                0.75992,                0.81634,                0.55309,                0.79078,                0.40297,                0.78285,             0.00024762,             0.00024762,             0.00024762
                     83,                0.77756,                0.36239,                0.77878,                0.86085,                0.75547,                0.80335,                0.54727,                0.82936,                0.41626,                0.78507,             0.00023525,             0.00023525,             0.00023525
                     84,                0.79105,                0.36492,                0.78169,                0.90626,                0.76879,                0.81634,                0.56628,                0.79625,                0.40309,                0.78221,             0.00022288,             0.00022288,             0.00022288
                     85,                0.78367,                0.37072,                0.78292,                0.88532,                0.76051,                0.80836,                 0.5624,                0.79466,                0.40605,                0.78172,              0.0002105,              0.0002105,              0.0002105
                     86,                0.79895,                0.36553,                0.78062,                0.89703,                 0.7518,                0.81149,                0.57002,                0.78927,                0.40511,                0.78258,             0.00019813,             0.00019813,             0.00019813
                     87,                0.78288,                0.36497,                 0.7837,                0.90753,                0.73757,                0.81171,                0.56124,                0.78935,                0.40077,                0.78313,             0.00018575,             0.00018575,             0.00018575
                     88,                0.77272,                0.35926,                0.78346,                0.86431,                0.74323,                0.81082,                0.56815,                0.78843,                0.39859,                0.78274,             0.00017338,             0.00017338,             0.00017338
                     89,                0.76843,                0.35572,                0.78246,                0.91628,                0.74986,                0.81959,                0.57324,                0.78069,                0.38914,                0.78299,               0.000161,               0.000161,               0.000161
                     90,                0.76862,                0.35608,                0.77809,                  0.894,                0.75627,                0.81717,                0.57027,                0.80517,                0.39343,                0.78391,             0.00014862,             0.00014862,             0.00014862
                     91,                0.74328,                0.35333,                0.78063,                0.92157,                 0.7518,                0.81809,                0.57094,                0.79131,                0.38963,                0.78267,             0.00013625,             0.00013625,             0.00013625
                     92,                0.71804,                0.34596,                0.77674,                0.89911,                0.74702,                0.81436,                0.56707,                0.78099,                0.38622,                0.78238,             0.00012387,             0.00012387,             0.00012387
                     93,                0.70669,                 0.3394,                0.77923,                0.88837,                 0.7492,                0.80643,                 0.5633,                 0.7825,                0.39508,                0.78259,              0.0001115,              0.0001115,              0.0001115
                     94,                0.70284,                0.34399,                0.77756,                 0.8849,                0.74735,                0.80358,                0.56389,                0.78132,                0.39539,                0.78196,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.70968,                0.34364,                0.77809,                0.86145,                0.75448,                0.80538,                0.56156,                0.78069,                0.39801,                0.78163,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.69853,                0.33764,                0.78271,                0.88112,                0.76007,                0.81023,                0.57336,                0.78253,                 0.3939,                0.78244,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.72355,                 0.3392,                0.77777,                0.91266,                0.74309,                0.81327,                0.57493,                 0.7833,                0.39403,                0.78192,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.68054,                0.33258,                0.77925,                0.92188,                0.74722,                0.81344,                0.57321,                0.78963,                0.39179,                0.78251,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.70108,                0.33081,                0.78026,                0.92036,                0.75069,                0.81389,                0.57705,                  0.785,                0.39259,                0.78218,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.71217,                0.33897,                0.78033,                0.93415,                 0.7516,                0.81303,                 0.5777,                0.78785,                0.39102,                 0.7824,             2.4875e-05,             2.4875e-05,             2.4875e-05
